, onlyS
wind,        3.60
old_coal_sub_st,        0.00
old_ng_cc,        0.00
old_ng_gt,        0.00
new_coal_st,        0.65
new_ng_cc,        1.20
new_ng_gt_aero,        0.63
new_nuke_st,        0.00
