, onlyS
wind,        4.20
old_coal_sub_st,        2.29
old_ng_cc,        3.43
old_ng_gt,        0.99
new_coal_st,        0.00
new_ng_cc,        1.60
new_ng_gt_aero,        1.05
new_nuke_st,        0.00
