, onlyS
wind,       19.00
old_coal_sub_st,        0.00
old_ng_cc,        0.00
old_ng_gt,        0.00
new_coal_st,        0.00
new_ng_cc,        4.00
new_ng_gt_aero,        5.00
new_nuke_st,        0.00
